rollout/success_rate,time/iterations,time/time_elapsed,time/fps,time/total_timesteps,train/n_updates,train/policy_gradient_loss,train/entropy_loss,train/approx_kl,train/clip_fraction,train/clip_range,train/learning_rate,train/value_loss,train/loss,train/explained_variance,eval/mean_ep_length,eval/mean_reward
0.2,1,6,834,5120,,,,,,,,,,,,
0.1,2,15,658,10240,10,-0.002408588815596886,-1.6051549871265889,0.007920742,0.01921875,0.2,0.0003,300.0174921178818,30.516897201538086,-0.02192246913909912,,
0.1,3,23,649,15360,20,-0.0023124860011739658,-1.594949489980936,0.008494715,0.02990234375,0.2,0.0003,137.2296275806427,16.29141616821289,0.09127438068389893,,
0.25,4,31,645,20480,30,-0.001535113531863317,-1.579697057902813,0.0065404563,0.01939453125,0.2,0.0003,133.6803661417961,12.764090538024902,0.1166985034942627,,
0.3,5,39,641,25600,40,-0.004705805894045625,-1.5621486467123031,0.009795489,0.05416015625,0.2,0.0003,132.27323828458785,10.588918685913086,0.336276113986969,,
0.25,6,49,625,30720,50,-0.002549084335769294,-1.5765715289115905,0.007021335,0.03376953125,0.2,0.0003,88.4795920586586,24.997709274291992,0.7765804529190063,,
0.5384615384615384,7,57,619,35840,60,-0.0026726350808166897,-1.55781888499856,0.0058823884,0.01771484375,0.2,0.0003,81.7857239985466,31.043729782104492,0.8220154047012329,,
0.8125,8,67,610,40960,70,-0.005623952954774723,-1.5359859761595727,0.010615899,0.07595703125,0.2,0.0003,85.24020287513733,59.618961334228516,0.8455213904380798,,
0.95,9,82,555,46080,80,-0.004516500279423781,-1.521588772982359,0.008372502,0.04318359375,0.2,0.0003,106.66434479951859,28.189123153686523,0.8639804124832153,,
1.0,10,93,546,51200,90,-0.00405712837644387,-1.4764600214362145,0.010577978,0.1033984375,0.2,0.0003,92.55644019603729,39.30441665649414,0.8997077941894531,,
0.8695652173913043,11,96,584,56320,100,-0.005062719068082516,-1.4369981326162815,0.0093056485,0.07958984375,0.2,0.0003,90.83096014261245,25.901546478271484,0.9128014445304871,,
1.0,12,106,578,61440,110,-0.004363187917333562,-1.4416660551726819,0.0072455807,0.05689453125,0.2,0.0003,122.85593421459198,19.601043701171875,0.8909105658531189,,
0.9642857142857143,13,117,567,66560,120,-0.0034434466960374267,-1.4377741031348705,0.0053068586,0.048203125,0.2,0.0003,117.63826166391372,23.489343643188477,0.8899130821228027,,
1.0,14,127,564,71680,130,-0.002605360396555625,-1.4415840765833854,0.0051391744,0.03056640625,0.2,0.0003,196.0501649284363,100.90790557861328,0.8456788659095764,,
1.0,15,143,536,76800,140,-0.005313783514502575,-1.3647798052430153,0.008943341,0.076328125,0.2,0.0003,166.06661734580993,50.60145950317383,0.8412988185882568,,
0.9666666666666667,16,154,531,81920,150,-0.005173022950766608,-1.3655910795927049,0.007437448,0.0622265625,0.2,0.0003,156.2776080417633,53.692596435546875,0.8498355746269226,,
1.0,17,157,551,87040,160,-0.0054798507364466785,-1.3109079737961293,0.0076168207,0.066015625,0.2,0.0003,189.42234926700593,121.9046401977539,0.8244428634643555,,
1.0,18,168,546,92160,170,-0.0019515921609126962,-1.2977024595439435,0.0041767904,0.0371875,0.2,0.0003,173.31439766407013,48.05214309692383,0.866032063961029,,
1.0,19,177,546,97280,180,-0.0031354752212064342,-1.3179393534362316,0.0052690716,0.03216796875,0.2,0.0003,179.2268112230301,74.3874282836914,0.8582025766372681,,
,,,,102400,190,-0.0030661373387556525,-1.2286587089300156,0.007083605,0.043984375,0.2,0.0003,151.36028306007384,71.63204956054688,0.8750299215316772,136.6,-186.64892189502717
1.0,20,191,536,102400,,,,,,,,,,,,
1.0,21,200,537,107520,200,-0.0032924446719698607,-1.331356444209814,0.0061558275,0.05814453125,0.2,0.0003,186.07940685272217,71.68871307373047,0.826773464679718,,
1.0,22,209,537,112640,210,-0.003313554014603142,-1.2378383588790893,0.006118146,0.04205078125,0.2,0.0003,153.17437323093415,56.71335220336914,0.8522320985794067,,
