time/iterations,rollout/reward_std_all,rollout/ep_rew_mean_this_rollout,time/time_elapsed,time/fps,rollout/ep_len_mean_custom,rollout/reward_mean_all,time/total_timesteps,rollout/ep_len_mean_this_rollout,rollout/ep_len_std_custom,rollout/success_rate,rollout/ep_rew_mean_custom,rollout/ep_len_std_this_rollout,rollout/reward_sum_finished_eps,rollout/reward_sum_all,rollout/steps_this_iter,rollout/ep_rew_std_custom,rollout/episodes_finished,rollout/ep_rew_std_this_rollout,train/clip_range,train/loss,train/policy_gradient_loss,train/value_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/learning_rate,train/explained_variance,train/entropy_loss
1,0.5797378110512577,-616.514467716217,5,907,407.54545454545456,-1.5021904421038925,5120,407.54545454545456,164.20019025366216,0.2727272727272727,-616.514467716217,164.20019025366216,-6781.659144878387,-7691.21506357193,5120,328.14804942619713,11,328.14804942619713,,,,,,,,,,
2,0.4116688491718982,-755.283837890625,15,675,451.57142857142856,-1.5262125454843045,10240,500.0,127.49475112578499,0.0,-682.5951201802209,0.0,-7552.83837890625,-7814.208232879639,5120,262.17517507717076,10,125.73385758922274,0.2,31.72681999206543,-0.003947487570694647,235.05465211868287,10,0.011627381,0.075078125,0.0003,-0.008986473083496094,-1.602571572214365
3,0.48410504546575933,-600.2559448242188,23,654,432.83870967741933,-1.548000082373619,15360,393.5,143.99218096473234,0.3,-656.0340958718331,166.89772317200735,-6002.5594482421875,-7925.76042175293,5120,281.36065001721147,10,310.5959974240272,0.2,18.14253044128418,-0.004805215589003637,187.14971484184264,20,0.010165308,0.04177734375,0.0003,0.20294106006622314,-1.5922419954836369
4,0.40471578591467794,-802.7223449707031,29,690,449.219512195122,-1.6339520260691642,20480,500.0,128.48564733266417,0.0,-691.8117176032648,0.0,-8027.223449707031,-8365.834373474121,5120,259.66267681934625,10,121.50794253105798,0.2,28.75101089477539,-0.003464292933640536,183.6088319158554,30,0.009038245,0.05046875,0.0003,0.031174898147583008,-1.579182613492012
