rollout/ep_len_std_custom,rollout/success_rate,rollout/reward_std_all,rollout/ep_len_mean_custom,time/time_elapsed,rollout/ep_len_std_this_rollout,rollout/reward_sum_finished_eps,rollout/ep_rew_mean_this_rollout,time/iterations,rollout/reward_mean_all,rollout/ep_len_mean_this_rollout,rollout/reward_sum_all,rollout/ep_rew_std_custom,time/total_timesteps,rollout/steps_this_iter,rollout/ep_rew_mean_custom,time/fps,rollout/episodes_finished,rollout/ep_rew_std_this_rollout,train/approx_kl,train/explained_variance,train/n_updates,train/clip_range,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/loss,train/clip_fraction,train/learning_rate
117.89999999999999,0.1,0.48413657540982863,460.7,6,117.89999999999999,-7435.637741088867,-743.5637741088867,1,-1.5840034186840057,460.7,-8110.097503662109,247.90537171967594,5120,5120,-743.5637741088867,825,10,247.90537171967594,,,,,,,,,,
187.4121557308983,0.3333333333333333,0.4374410578139815,399.04545454545456,8,216.79842147846824,-6332.411271095276,-527.7009392579397,2,-1.5429904349148273,347.6666666666667,-7900.111026763916,327.80655025710564,10240,5120,-625.8204096447338,1144,12,353.0016594574197,0.009733273,-0.001653432846069336,10,0.2,-0.004175539913703687,242.47893030166625,-1.6033826716244222,26.009368896484375,0.0632421875,0.0003
162.5859388139085,0.1,0.42046941178007385,425.5,17,48.9,-6619.102478027344,-661.9102478027344,3,-1.359268898330629,483.7,-6959.45675945282,284.9285307292208,15360,5120,-637.098484069109,894,10,149.96168909577364,0.0067410185,0.061108946800231934,20,0.2,-0.0012054114852799102,201.31560172557832,-1.5903920882940292,44.29768371582031,0.00572265625,0.0003
160.72771901530842,0.2,0.3672929201546723,424.92857142857144,24,154.6172370727145,-6620.879249572754,-662.0879249572754,4,-1.6241307567805052,423.1,-8315.549474716187,281.0523203147794,20480,5120,-643.0483509472439,820,10,267.38411258646244,0.007600151,0.030302107334136963,30,0.2,-0.0025210713886190204,112.6504461479187,-1.5715584199130535,31.859386444091797,0.04921875,0.0003
158.76862849470746,0.2727272727272727,0.45183595949683775,422.2641509433962,33,150.62201610500767,-6651.292449951172,-604.6629499955611,5,-1.4925077649764718,412.09090909090907,-7641.639756679535,280.3837451618635,25600,5120,-635.0815696176493,775,11,275.70675091557047,0.007680093,0.14447563886642456,40,0.2,-0.003018106791132595,161.65482982873917,-1.5528039342164994,35.05990982055664,0.03611328125,0.0003
152.70498349258636,0.23076923076923078,0.5087032858472667,424.22727272727275,41,124.65592882697545,-8337.790756225586,-641.3685197096604,6,-1.453639141470194,432.2307692307692,-7442.632404327393,275.34828395009305,30720,5120,-636.3199082721363,743,13,253.72467320560304,0.007578927,0.4431424140930176,50,0.2,-0.0010617250244831667,131.90584044456483,-1.5382135981321334,43.27768325805664,0.00669921875,0.0003
145.27943330340977,0.25,0.4833990163965788,427.7435897435897,49,92.1642178698195,-7740.436553955078,-645.0363794962565,7,-1.3787418026477098,447.0833333333333,-7059.158029556274,267.88411585548187,35840,5120,-637.6609038450779,723,12,222.25285757479537,0.0056941817,0.6106196641921997,60,0.2,-0.0017606565915048123,149.85596707820892,-1.5118430677056311,145.5766143798828,0.01880859375,0.0003
144.35578160371566,0.35714285714285715,0.5178688554639626,424.1304347826087,57,137.36863855022682,-8019.5465087890625,-572.8247506277902,8,-1.346763557009399,404.0,-6895.429411888123,265.5268329860264,40960,5120,-627.7945327033167,708,14,244.81616122162782,0.010330912,0.7768759727478027,70,0.2,-0.004845328365336172,117.15536126375198,-1.5231588980555535,74.21705627441406,0.0748046875,0.0003
144.06125745668058,0.7142857142857143,0.5449771490197846,412.29,66,122.96747537458837,-6625.363006591797,-473.2402147565569,9,-1.4424426461104303,344.0,-7385.306348085403,268.9414503349923,46080,5120,-606.159427576065,696,14,247.34850477942882,0.0060554883,0.8205158114433289,80,0.2,-0.0022496799725922755,128.16767636060715,-1.5342421320080757,116.20156860351562,0.03427734375,0.0003
134.72916350961287,0.2727272727272727,0.4419009971164914,417.25,74,129.92451718320626,-6264.303558349609,-569.4821416681463,10,-1.3734066073782742,424.27272727272725,-7031.841829776764,249.79904607875483,51200,5120,-598.6371274757386,688,11,198.16692297918289,0.0075286827,0.8422420024871826,90,0.2,-0.002556782480387483,120.4499423623085,-1.5164505966007709,32.63581848144531,0.02646484375,0.0003
131.64826014801716,0.2727272727272727,0.4597069768864481,416.66,82,119.10374670571386,-6555.792861938477,-595.9811692671342,11,-1.3564795923419297,434.45454545454544,-6945.17551279068,244.42234846756287,56320,5120,-596.4429328155518,682,11,197.87988027742156,0.010201809,0.8695215582847595,100,0.2,-0.004053472393425181,115.0600736451149,-1.508477608114481,86.4580078125,0.1015625,0.0003
