rollout/reward_mean_all,rollout/reward_sum_all,rollout/ep_rew_std_this_rollout,rollout/ep_rew_std_custom,rollout/success_rate,rollout/ep_len_std_this_rollout,time/fps,rollout/ep_len_mean_custom,rollout/ep_len_mean_this_rollout,rollout/ep_rew_mean_this_rollout,time/iterations,rollout/steps_this_iter,rollout/episodes_finished,rollout/ep_len_std_custom,rollout/reward_sum_finished_eps,time/time_elapsed,rollout/ep_rew_mean_custom,rollout/reward_std_all,time/total_timesteps,train/learning_rate,train/approx_kl,train/clip_fraction,train/loss,train/n_updates,train/value_loss,train/policy_gradient_loss,train/clip_range,train/explained_variance,train/entropy_loss,eval/mean_reward,eval/mean_ep_length
-1.5606033712625504,-7990.289260864258,307.94313805578133,307.94313805578133,0.2727272727272727,160.39841923336397,1591,412.27272727272725,412.27272727272725,-639.2030085216869,1,5120,11,160.39841923336397,-7031.233093738556,3,-639.2030085216869,0.7588927948836355,5120,,,,,,,,,,,,
-1.455487864278257,-7452.097865104675,206.45328125405015,265.09740009962417,0.1,108.30000000000001,801,436.85714285714283,463.9,-674.3235733032227,2,5120,10,140.4507321563875,-6743.235733032227,12,-655.9270869890848,0.4351609991144903,10240,0.0003,0.010408592,0.06771484375,23.165693283081055,10,227.51889813899993,-0.0037055423522542696,0.2,0.0035715699195861816,-1.603093868046999,,
-1.4739859890192748,-7546.8082637786865,213.95190507437422,250.18218325892,0.2,57.26290247621055,731,448.0,471.4,-687.5200592041016,3,5120,10,121.16743946744428,-6875.200592041016,20,-666.1183683487677,0.4534864899493955,15360,0.0003,0.0033177056,0.00365234375,25.739076614379883,20,181.55403340816497,-0.001005069678358268,0.2,0.10280483961105347,-1.6024102602899075,,
-1.3807284083217382,-7069.3294506073,236.5431957540805,247.4594585751897,0.16666666666666666,138.83470887673906,702,445.1860465116279,437.9166666666667,-616.383871714274,4,5120,12,126.42752419891646,-7396.606460571289,29,-652.2389739391416,0.43626850055585864,20480,0.0003,0.009326633,0.01935546875,49.43202209472656,30,156.9932282066345,-0.0030582715185300913,0.2,0.08468830585479736,-1.594834883660078,,
-1.4828055657446384,-7591.964496612549,276.19779321129016,254.8020233038514,0.18181818181818182,176.8298897736335,737,439.462962962963,417.09090909090907,-590.2980008558793,5,5120,11,138.65621127289677,-6493.278009414673,34,-639.6213683110697,0.4845037233197864,25600,0.0003,0.008146981,0.04015625,11.64087200164795,40,107.35122956752777,-0.0030447720232768915,0.2,0.3691091537475586,-1.5780774419009687,,
-1.4610795302316546,-7480.727194786072,346.31732814631147,280.0903590013968,0.45454545454545453,205.02896388817325,716,419.61538461538464,322.1818181818182,-466.4341980760748,6,5120,11,158.17630789311724,-5130.7761788368225,42,-610.3127702713012,0.501251536840261,30720,0.0003,0.0106708985,0.0465234375,27.44453239440918,50,136.79473540782928,-0.0033774892332439775,0.2,0.5086510181427002,-1.5736263678967952,,
-1.2885503889061511,-6597.377991199493,299.99081711850863,284.38469994260697,0.4,153.90294199772646,700,414.0375,389.8666666666667,-569.0350728352864,7,5120,15,157.81163168077947,-8535.526092529297,51,-602.5732020020484,0.582427285449619,35840,0.0003,0.008752225,0.03162109375,45.013729095458984,60,138.87199471473693,-0.002807063242944423,0.2,0.5964179635047913,-1.5485943281650543,,
-1.3854866907000543,-7093.691856384277,253.49288744486398,280.8048498488093,0.35714285714285715,141.46437137084,688,412.8723404255319,406.2142857142857,-542.895127432687,8,5120,14,155.5108420686654,-7600.531784057617,59,-593.6849781300159,0.5242176610544278,40960,0.0003,0.005691275,0.04619140625,26.48158073425293,70,156.00792232751846,-0.004493357095925603,0.2,0.7250587940216064,-1.5545218467712403,,
-1.4200699282810092,-7270.758032798767,223.05727658619554,267.98678197789474,0.25,109.79181688794277,707,420.42,438.9166666666667,-612.275473276774,9,5120,12,147.4890626453365,-7347.305679321289,65,-598.9757445192337,0.47767628340627133,46080,0.0003,0.006100732,0.0426171875,37.522010803222656,80,137.0904163789749,-0.0018899541412247345,0.2,0.7622479200363159,-1.5622758130729197,,
-1.324191927909851,-6779.8626708984375,238.60910637892187,269.73205350679666,0.38461538461538464,145.91190501007324,699,410.14,393.15384615384613,-531.9705047607422,10,5120,13,151.52491676288753,-6915.616561889648,73,-576.6376768922805,0.5047241535579546,51200,0.0003,0.005582984,0.01048828125,25.15019989013672,90,144.20192113876342,-0.0013040350301889703,0.2,0.7732388973236084,-1.5528149235248565,,
-1.348402837663889,-6903.822528839111,254.35907691226862,273.7407922059299,0.5714285714285714,181.9385408676821,692,392.52,353.7142857142857,-453.72644574301586,11,5120,14,163.41092252355716,-6352.170240402222,81,-541.1788339471817,0.5129968162849288,56320,0.0003,0.00938542,0.028125,22.63235092163086,100,133.00539122819902,-0.00262553985521663,0.2,0.8404868841171265,-1.5261748453974724,,
-1.2994938945397734,-6653.40874004364,210.25065742515898,265.51411510053174,0.4666666666666667,145.65859626766513,683,390.52,376.2,-497.27590026855466,12,5120,15,157.4147693197814,-7459.13850402832,89,-535.7353229570389,0.5352672270133865,61440,0.0003,0.011679837,0.08515625,123.39324188232422,110,111.56145833015442,-0.003542680576792918,0.2,0.8903305530548096,-1.5173418548703195,,
-1.190300776064396,-6094.339973449707,187.99931471921033,245.24805555764448,0.8461538461538461,152.25896656489,692,391.46,356.7692307692308,-433.8866005677443,13,5120,13,150.20948172469008,-5640.525807380676,96,-522.9827078533173,0.5451160486567286,66560,0.0003,0.0074607013,0.0388671875,30.202993392944336,120,83.52741861581802,-0.0028990471913130024,0.2,0.9167378544807434,-1.4581467044353484,,
-1.2501205397769808,-6400.617163658142,131.0523528387287,227.5806898646353,0.9473684210526315,87.59586754568011,685,368.03,289.7368421052632,-366.13787038702714,14,5120,19,146.33287088005892,-6956.619537353516,104,-482.7190811443329,0.658726233387158,71680,0.0003,0.011263274,0.09138671875,85.8268051147461,130,70.15312454462051,-0.005135147404653253,0.2,0.9414069056510925,-1.4219481568038463,,
-1.264144738111645,-6472.421059131622,123.0055993122955,210.12112297680187,0.8888888888888888,104.5167746002502,681,344.57,296.72222222222223,-366.07994503445093,15,5120,18,141.569788796904,-6589.439010620117,112,-446.27131167411807,0.6313408506372961,76800,0.0003,0.008741233,0.05208984375,18.34575843811035,140,117.04688844919205,-0.003747948925301898,0.2,0.925441324710846,-1.341384284645319,,
