iteration,episode_len_mean,episode_return_mean,episode_return_sum,success_mean,num_episodes,num_env_steps_sampled,num_env_steps_sampled_lifetime,cm_episode_return_mean,cm_episode_return_std,cm_episode_len_std,cm_episode_len_mean_custom
38,142.78125,-127.2567486110143,-4072.21597135067,1.0,32.0,4569.0,230414.0,-127.25674910470843,82.34909914153992,99.47101788178053,142.78125
39,132.125,-119.62131861168888,-3827.882118344307,1.0,32.0,4228.0,234642.0,-119.62131619825959,53.298710102607274,52.90660993675554,132.125
40,258.9375,-303.1471575051546,-4850.353675842285,0.9375,16.0,4143.0,238785.0,-303.1471047401428,587.690308938735,332.60044887785403,258.9375
41,648.1875,-589.8447818990797,-9437.5152053833,0.8125,16.0,10371.0,249156.0,-589.8447003364563,675.6014104010137,538.8066929277605,648.1875
42,267.8125,-303.92839319910854,-4862.8543701171875,0.9375,16.0,4285.0,253441.0,-303.9283981323242,544.9954949706942,334.9882868754518,267.8125
43,316.45833333333337,-292.16054048178097,-7011.8532873392105,1.0,24.0,7595.0,261035.99999999997,-292.16055363913375,475.1888219094402,364.06592571111196,316.4583333333333
44,361.625,-481.09076252169893,-7697.454610943794,0.875,16.0,5786.0,266822.0,-481.09091318398714,784.9954448825304,448.5746697875394,361.625
45,290.8125,-349.0432202015072,-5584.695613741875,0.9375,16.0,4653.0,271475.0,-349.04347585886717,604.8111366701386,345.06325846683535,290.8125
46,190.0,-181.30091373721754,-4351.22186589241,1.0,24.0,4560.0,276035.00000000006,-181.30091107885042,119.04080363516616,113.2147664102759,190.0
47,306.5,-400.0745154082775,-6401.190899848938,1.0,16.0,4904.0,280939.00000000006,-400.0744312405586,573.3108094811427,347.0408837586719,306.5
48,284.0,-381.1586183691398,-6098.537803649902,0.9375,16.0,4544.0,285483.00000000006,-381.1586127281189,855.720509743678,337.2400851025868,284.0
49,176.125,-146.29201164273542,-4681.344084143639,1.0,32.0,5636.0,291119.0,-146.2920026294887,73.6037842703454,100.7381351574467,176.125
50,180.58333333333334,-186.80344586918747,-4483.2825268507,1.0,24.0,4334.0,295453.0,-186.80343861877918,230.7276012945703,149.29275397315465,180.58333333333334
51,406.8173076923077,-480.0552225832755,-5013.285045862198,0.875,8.0,4268.0,299721.0,-626.6606307327747,790.0057302215405,459.63327773345566,533.5
52,271.5625,-295.68405628614124,-4730.945959806442,1.0,16.0,4345.0,304066.0,-295.68412248790264,349.1976479711812,287.9129574954035,271.5625
53,261.4375,-225.39829156547785,-3606.3727765083313,0.9375,16.0,4183.0,308249.0,-225.3982985317707,258.0498100290759,333.03321319914926,261.4375
54,234.04166666666663,-301.5225838132202,-7236.541191101074,0.9583333333333334,24.0,5617.0,313866.00000000006,-301.5225496292114,624.7233451744862,285.7937016985426,234.04166666666666
55,241.625,-296.4643395587801,-7115.141008019447,0.9583333333333334,24.0,5799.0,319664.99999999994,-296.46420866747695,578.2202381769986,275.9619255893827,241.625
56,197.70833333333334,-191.81474362661442,-4603.553308814764,1.0,24.0,4745.0,324410.0,-191.81472120061517,143.88548629436622,145.95760776296962,197.70833333333334
57,213.25,-233.6708325219651,-5608.099671006203,1.0,24.0,5118.0,329527.99999999994,-233.67081962525845,210.68905937784675,154.42021942306218,213.25
58,352.4375,-540.9023116115479,-8654.438339233398,0.875,16.0,5639.0,335166.99999999994,-540.9023962020874,911.9528792101738,443.27586906321665,352.4375
59,170.65625,-162.00002276049923,-5184.000937342644,1.0,32.0,5461.0,340628.0,-162.00002929195762,93.23042503922014,94.45025455729328,170.65625
60,363.3125,-442.0497031543403,-7072.792816162109,0.875,16.0,5813.0,346441.0,-442.04955101013184,714.1540082431671,440.9337703598467,363.3125
61,196.95833333333334,-192.24068107555306,-4613.775772094727,1.0,24.0,4727.0,351168.0,-192.24065717061362,146.70703788199634,127.01656032668424,196.95833333333334
62,286.0625,-349.9026862224564,-5598.442756652832,0.9375,16.0,4577.0,355745.0,-349.902672290802,646.0199540157544,348.0852030663613,286.0625
63,160.03125,-152.65759498756375,-4885.043211221695,1.0,32.0,5121.0,360866.0,-152.65760035067797,74.32057837007827,90.72054769145467,160.03125
64,203.9375,-239.51552577940754,-7664.495025634766,0.96875,32.0,6526.0,367392.0,-239.51546955108643,492.97755448463454,241.94484618141797,203.9375
65,257.75,-389.3910693228245,-6230.259729743004,0.9375,16.0,4124.0,371516.0,-389.39123310893774,844.1906090144602,419.05556015879324,257.75
66,268.625,-346.8918963484466,-5550.270477294922,0.9375,16.0,4298.0,375814.0,-346.8919048309326,637.7337505376535,342.46274888664897,268.625
67,168.28125,-152.10607645418492,-4867.3941650390625,1.0,32.0,5385.0,381199.0,-152.1060676574707,64.02770701475077,81.31198957372462,168.28125
68,597.5480769230769,-911.5978197601264,-11046.114379882812,0.5,8.0,6805.0,388004.0,-1380.7642974853516,1203.0624607052555,650.6804010994953,850.625
69,264.625,-348.4544931286946,-5575.271957278252,0.9375,16.0,4234.0,392238.0,-348.4544973298907,647.498623088464,360.8789400546948,264.625
70,351.6875,-476.3990621423348,-7622.384742736816,0.875,16.0,5627.0,397865.0,-476.399046421051,823.309197309843,450.4881683726555,351.6875
71,409.5,-486.6276062788441,-7786.03963470459,0.875,16.0,6552.0,404417.0,-486.62747716903687,770.8014295687626,462.66416005564986,409.5
72,637.0288461538462,-863.1786665919309,-7290.325035572052,0.625,8.0,5287.0,409704.0,-911.2906294465065,1056.914695117212,653.7712592145666,660.875
73,581.2596153846154,-743.8884586851184,-5114.098457336426,0.7499999999999999,8.0,4252.0,413956.0,-639.2623071670532,816.6888619858088,571.1565021953265,531.5
74,744.8846153846154,-1119.2747052894758,-11354.263412475586,0.5,8.0,7026.0,420982.0,-1419.2829265594482,1262.5491639244049,624.5920168397928,878.25
75,732.4038461538462,-1173.2303493309769,-8155.583114624023,0.7499999999999999,8.0,5130.0,426112.0,-1019.4478893280029,1283.5218201256862,527.2522522474418,641.25
76,675.7115384615385,-998.0611717342757,-7877.556557297707,0.625,8.0,5578.0,431690.0,-984.6945696622133,1029.5928600061031,629.2481128299075,697.25
