time/iterations,time/fps,rollout/ep_rew_mean_custom,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean_custom,rollout/success_rate,train/n_updates,train/entropy_loss,train/clip_fraction,train/explained_variance,train/learning_rate,train/loss,train/approx_kl,train/clip_range,train/value_loss,train/policy_gradient_loss
1,971,-664.2033432006835,5,5120,418.2,0.2,,,,,,,,,,
2,737,-670.554222869873,13,10240,436.45,0.2,10,-1.605708263963461,0.04083984375,-0.010802984237670898,0.0003,10.952681541442871,0.006418391,0.2,221.5817997097969,-0.0032606456280336715
3,797,-687.2176917291457,19,15360,447.2258064516129,0.09090909090909091,20,-1.6045638918876648,0.00466796875,0.014218688011169434,0.0003,14.226825714111328,0.00580955,0.2,195.0377500510216,-0.0007715274274960393
4,777,-739.842829262338,26,20480,460.0975609756098,0.0,30,-1.5917275163531304,0.0551171875,0.010336875915527344,0.0003,24.703624725341797,0.008807138,0.2,192.97948756217957,-0.003841384956467664
