time/fps,time/total_timesteps,time/iterations,time/time_elapsed,rollout/success_rate,train/explained_variance,train/policy_gradient_loss,train/n_updates,train/value_loss,train/entropy_loss,train/clip_fraction,train/loss,train/approx_kl,train/clip_range,train/learning_rate
1108,5120,1,4,0.1,,,,,,,,,,
1967,10240,2,5,0.2,0.007611751556396484,-0.0021477087360108273,10,265.6795961713791,-1.6061494696140288,0.0120703125,16.18843650817871,0.0053893016,0.2,0.0003
