rollout/ep_rew_std_custom,rollout/reward_sum_finished_eps,time/total_timesteps,rollout/reward_sum_all,rollout/steps_this_iter,rollout/ep_len_std_custom,rollout/ep_len_mean_this_rollout,rollout/ep_rew_mean_this_rollout,rollout/success_rate,rollout/reward_std_all,rollout/reward_mean_all,time/iterations,time/time_elapsed,time/fps,rollout/episodes_finished,rollout/ep_len_std_this_rollout,rollout/ep_len_mean_custom,rollout/ep_rew_mean_custom,rollout/ep_rew_std_this_rollout,train/n_updates,train/approx_kl,train/loss,train/explained_variance,train/value_loss,train/entropy_loss,train/clip_range,train/policy_gradient_loss,train/clip_fraction,train/learning_rate,eval/mean_reward,eval/mean_ep_length
117.15080120823463,-4884.010411262512,5120,-8308.697732925415,5120,69.86,6.0378619153674835,-10.877528755595796,0.9955456570155902,0.7665635161579037,-1.622792525961995,1,8,627,449,39.14243183034755,10.98,-19.07317706823349,65.5504778897204,,,,,,,,,,,,
104.82270882551614,-7583.318749904633,10240,-8451.487761497498,5120,69.86,9.445297504798464,-14.555314299241138,0.9846449136276392,0.4618920495621856,-1.65068120341748,2,18,541,521,63.80922699026962,10.98,-17.39720277309418,94.07352947161593,10,0.009270951,18.815832138061523,-0.01085972785949707,202.00381932258605,-1.6035338054597377,0.2,-0.005051756298635155,0.0566796875,0.0003,,
142.13761241996997,-9106.20490694046,15360,-9060.416699409485,5120,69.86,9.619961612284069,-17.478320358810866,0.982725527831094,0.5106574713888925,-1.769612636603415,3,29,516,521,65.01582196921377,10.98,-22.727348234653473,114.70107696055057,20,0.009061019,31.596860885620117,0.4480525851249695,199.20509444713593,-1.6008794796466828,0.2,-0.004529416413861327,0.01888671875,0.0003,,
120.60786852581754,-8512.689405202866,20480,-8645.650415420532,5120,69.86,9.619961612284069,-16.339135134746382,0.982725527831094,0.47746380514484,-1.6886035967618227,4,40,506,521,65.01582196921377,10.98,-19.32420305252075,107.78482095070694,30,0.00607045,44.95048522949219,0.6479376554489136,225.46869725704192,-1.5945561899244785,0.2,-0.002540187081322074,0.01232421875,0.0003,,
252.0244000598757,-7453.484297990799,25600,-7961.4072341918945,5120,156.89117247315096,124.12820512820512,-191.11498199976407,0.7692307692307693,0.43185149508511916,-1.5549623504281045,5,46,545,39,209.3102444584115,59.0,-92.92085894823074,332.0041808368987,40,0.010716563,47.05413055419922,0.7628946900367737,151.48929043293,-1.5836375790834427,0.2,-0.005524317125382368,0.04865234375,0.0003,,
321.3134791447771,-7536.440704345703,30720,-7803.1821575164795,5120,202.69200773587497,498.0,-753.6440704345703,0.1,0.4880418989554391,-1.5240590151399374,6,55,551,10,6.0,108.7,-168.04565963506698,159.17758460606717,50,0.009080465,65.99885559082031,0.19670087099075317,155.01928243160248,-1.5734776306152343,0.2,-0.004148476453265175,0.050390625,0.0003,,
358.36257470845055,-8669.418090820312,35840,-7832.356150627136,5120,227.12918328563592,467.5833333333333,-722.4515075683594,0.08333333333333333,0.43683706196128286,-1.5297570606693625,7,64,557,12,107.51392028735421,154.71,-237.53445788145066,216.92687922774968,60,0.009655704,17.143835067749023,0.4147927761077881,147.53800549983978,-1.5739102517068386,0.2,-0.002486388219986111,0.05173828125,0.0003,,
380.70371439586046,-8138.877502441406,40960,-8092.048944473267,5120,240.1993388833533,409.0769230769231,-626.0675001878005,0.23076923076923078,0.41222085996778685,-1.5804783094674348,8,72,564,13,166.00531110060746,207.76,-318.60433449983594,286.1361424577149,70,0.008705631,140.18836975097656,0.3086511492729187,169.70614507198334,-1.5446953900158404,0.2,-0.0026364022740744987,0.05322265625,0.0003,,
391.0131866728819,-8242.764450073242,46080,-7528.729816436768,5120,242.78911919606279,467.3636363636364,-749.3422227339311,0.09090909090909091,0.4547451121874349,-1.4704550422728062,9,78,587,11,103.20524363640439,259.06,-400.76457837581637,219.37222133570455,80,0.0065986617,119.92562866210938,0.3710317015647888,204.27915901899337,-1.5585679592192172,0.2,-0.0031808898152667097,0.0301171875,0.0003,,
378.9101476398402,-7164.414337158203,51200,-7453.708604812622,5120,235.8013112771004,500.0,-716.4414337158203,0.0,0.43074229722966856,-1.4558024618774652,10,86,588,10,0.0,308.96,-472.1711120414734,129.8704973762812,90,0.006944926,15.808401107788086,0.5111086368560791,190.69104936599732,-1.5339327429234981,0.2,-0.002109725894406438,0.0274609375,0.0003,,
359.7580690959621,-8044.3037109375,56320,-8757.067293167114,5120,217.4349107204268,500.0,-804.43037109375,0.0,0.4187505229678655,-1.710364705696702,11,95,589,10,0.0,358.86,-552.3811596918106,182.26564311485635,100,0.007405901,114.31631469726562,0.5868535041809082,186.24679174661637,-1.5352277728915213,0.2,-0.0026516520293080248,0.0237109375,0.0003,,
314.69377760170875,-9259.556091308594,61440,-8659.0563621521,5120,179.9146116912131,500.0,-841.7778264825994,0.0,0.5337011616324988,-1.691221945732832,12,104,589,11,0.0,413.75,-644.7068472361565,140.90786913363016,110,0.010320401,102.97870635986328,0.35937803983688354,199.9185102558136,-1.5139162181317807,0.2,-0.0036910456072655508,0.066328125,0.0003,,
235.91619394939588,-8435.718795776367,66560,-8559.62223815918,5120,112.60742604286806,464.54545454545456,-766.8835268887607,0.18181818181818182,0.4878242956635951,-1.6718012183904647,13,110,603,11,111.48612929325958,464.74,-728.7964154148102,259.8966368163613,120,0.007088647,114.4689712524414,0.46513813734054565,250.62740605831146,-1.5013631507754326,0.2,-0.0014515069276967551,0.04751953125,0.0003,,
