time_steps,reward ep.,length
327680,0.2639999999999997,301.0
655360,0.914,301.0
983040,1.4979999999999998,301.0
1310720,2.244,301.0
1638400,2.576,301.0
1966080,3.022,301.0
2293760,3.45,301.0
2621440,3.604,301.0
2949120,4.016,301.0
3276800,4.228,301.0
