rollout/success_rate,rollout/ep_rew_mean_this_rollout,rollout/steps_this_iter,rollout/ep_len_mean_custom,rollout/reward_mean_all,rollout/ep_rew_std_custom,rollout/reward_sum_all,rollout/reward_std_all,rollout/ep_len_std_custom,time/iterations,rollout/reward_sum_finished_eps,time/time_elapsed,rollout/episodes_finished,rollout/ep_rew_std_this_rollout,rollout/ep_len_mean_this_rollout,rollout/ep_rew_mean_custom,time/total_timesteps,time/fps,rollout/ep_len_std_this_rollout,train/loss,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/clip_range,train/approx_kl,train/clip_fraction,train/entropy_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
0.1656441717791411,-45.80208778600751,5120,28.41,-1.5985702494159342,52.052463330898,-8184.6796770095825,0.7496617694666349,33.30678459413337,1,-7465.740309119225,6,163,54.49722496588072,28.8159509202454,-44.32304741024971,5120,771,34.2934358962199,,,,,,,,,,,,
0.12021857923497267,-46.19678790908042,5120,29.14,-1.5973803186789155,56.33576332000954,-8178.587231636047,0.4828985996228278,35.125210319655025,2,-8454.012187361717,12,183,55.44093302943968,28.939890710382514,-47.09980028629303,10240,791,34.70990935796763,232.3137664794922,0.5528563261032104,-0.003172255611862056,0.0003,351.08691140174864,0.2,0.005867599,0.0326171875,-1.0249055121093988,410,,
0.1949685534591195,-47.802509097183275,5120,31.16,-1.5098946750164033,53.58963792135366,-7730.660736083984,0.5028843258733559,35.407547218072025,3,-7600.598946452141,21,159,53.26233981853582,31.58490566037736,-47.09378244400025,15360,704,35.164716072188625,96.51475524902344,0.7209897041320801,-0.0032941398018738253,0.0003,211.91438498973847,0.2,0.008434728,0.06716796875,-1.018860721513629,420,,
0.17613636363636365,-43.913971529088236,5120,25.74,-1.5254759166389704,51.54713582526941,-7810.436693191528,0.5502726042372474,33.055595592879584,4,-7728.85898911953,30,176,51.87846620869206,28.96590909090909,-40.117548415660856,20480,665,33.95148572985375,97.04325866699219,0.6995567083358765,-0.0027400000614579765,0.0003,185.53909299612044,0.2,0.0076956437,0.06384765625,-1.015912938863039,430,,
0.18292682926829268,-48.52118028300564,5120,31.36,-1.543882387317717,52.44388545936798,-7904.677823066711,0.49055386284354807,34.2562461457761,5,-7957.473566412926,36,164,52.72523731284652,31.378048780487806,-48.1430514228344,25600,695,34.143935019733256,55.261146545410156,0.7891587018966675,-0.0036626554865506478,0.0003,124.79954870700836,0.2,0.0041207685,0.0369921875,-1.0374909321963788,440,,
0.14285714285714285,-41.97125047981424,5120,26.28,-1.5379997115582227,50.22979214000816,-7874.558523178101,0.517890740708497,32.88163012990688,6,-7932.566340684891,45,189,51.1526793075775,27.243386243386244,-39.99983983516693,30720,670,33.09572489798001,86.09028625488281,0.7511436939239502,-0.0029126910355989823,0.0003,123.03086897611618,0.2,0.004853648,0.03861328125,-0.9748168771713972,450,,
0.07425742574257425,-40.54103727210866,5120,24.31,-1.5998243791982532,51.815511337219974,-8191.100821495056,0.428742101665093,32.18965517056684,7,-8189.28952896595,55,202,52.82725910944039,25.326732673267326,-39.14499627709389,35840,650,33.02162774948513,37.801429748535156,0.7978183031082153,-0.0023400427401065824,0.0003,107.4541929602623,0.2,0.0048131947,0.0419140625,-0.9988119930773973,460,,
0.11398963730569948,-41.322109722720526,5120,25.72,-1.5419305685907603,51.19419461574939,-7894.684511184692,0.5101166709116604,32.870984165369926,8,-7975.167176485062,64,193,51.13111346734368,26.82901554404145,-40.130372562408446,40960,632,33.22441806902967,21.318683624267578,0.8301454186439514,-0.0029538417313597163,0.0003,92.70506037473679,0.2,0.0038602718,0.04732421875,-0.929701102077961,470,,
0.15846994535519127,-42.39571108322978,5120,26.38,-1.5379990192130208,51.01177380267638,-7874.5549783706665,0.5291475992054532,33.401431107064866,9,-7758.415128231049,71,183,51.45278675432134,27.628415300546447,-40.42544143676758,46080,648,33.35163969231982,12.885137557983398,0.8096079230308533,-0.004784996467642486,0.0003,99.06804832458496,0.2,0.0065863007,0.07876953125,-0.9744791857898235,480,,
0.14606741573033707,-44.656435605515256,5120,28.55,-1.5500550435855984,51.83226831880572,-7936.281823158264,0.479835273426884,33.51040883069021,10,-7948.845537781715,79,178,53.16255134913393,28.573033707865168,-44.40323700428009,51200,640,34.19931257619453,16.21869659423828,0.8161931037902832,-0.0017697658896213397,0.0003,95.94452740430832,0.2,0.005893695,0.03287109375,-0.9737016726285219,490,,
